Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP EPS Diluted - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2021-05-12,AES,The AES Corporation,21.7193,33.3148,46.5,66.3552,89.6812,121.9118,144.3638,142.9903,141.7528,140.6441,21.65556526184082,22.455994198158912,21.60278851079242,22.148136527800567,4838700.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-13,AES,The AES Corporation,21.4534,34.0892,47.9856,68.9412,89.4317,115.8198,134.3023,133.7435,133.4366,133.2814,21.497238159179688,22.024993920808225,21.224563314429865,21.840278649278044,5307700.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-14,AES,The AES Corporation,21.3587,33.2891,46.9499,67.2049,87.453,113.7499,132.1693,131.6866,131.4496,131.3579,22.31525993347168,22.60552535845891,21.681952331543645,21.681952331543645,4893000.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-17,AES,The AES Corporation,21.1725,33.12,46.6823,67.3954,88.9072,114.7054,132.7872,132.1474,131.7944,131.6146,22.13934326171875,22.368037512727586,21.875466183156774,22.11295488278673,5523100.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-18,AES,The AES Corporation,21.0071,33.086,46.465,66.5735,89.0667,115.9377,134.7464,134.2401,133.9683,133.8367,21.893051147460938,22.218501026793163,21.866664452980704,22.218501026793163,4574900.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-19,AES,The AES Corporation,21.4613,33.5687,47.2739,68.0132,90.4922,117.907,137.0831,136.5667,136.2711,136.1094,21.937034606933594,21.963421304828913,21.409278839065802,21.558809612000186,7925100.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-20,AES,The AES Corporation,21.2694,33.6293,46.7879,67.3978,89.6806,115.7927,134.0724,133.4367,133.0784,132.888,22.29766845703125,22.49117818784525,21.945831820237878,21.989810770703517,8464600.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-21,AES,The AES Corporation,21.2196,33.6312,48.0147,69.2957,89.2228,114.4132,132.0623,131.3103,130.8844,130.6564,22.30646324157715,22.596728659191832,22.218503668244658,22.42080951252686,7333900.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-24,AES,The AES Corporation,21.3513,32.614,47.0227,67.115,88.8013,115.2612,133.661,133.0583,132.7267,132.5584,22.605525970458984,22.746260624099914,22.37683173887012,22.526362518074784,6359100.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-25,AES,The AES Corporation,20.1154,32.4905,44.6481,64.2572,86.5389,113.546,132.2987,131.8808,131.6919,131.6366,22.288869857788086,22.73746214904853,22.236094787548396,22.73746214904853,7455900.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-26,AES,The AES Corporation,20.2535,32.6518,44.8699,64.3503,86.8573,114.0176,132.8631,132.4248,132.2172,132.1449,22.394420623779297,22.56154364151043,22.11295133772009,22.385626176568067,5827700.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-27,AES,The AES Corporation,20.8784,32.3128,45.7734,65.8234,87.0231,113.1217,131.3451,130.7859,130.5034,130.3852,22.288869857788086,22.570339135985407,22.271277608478446,22.543950762020945,5363900.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-28,AES,The AES Corporation,21.5843,32.4686,46.8383,66.6642,87.6943,110.5516,126.5513,126.7825,126.954,127.0852,22.35044288635254,22.46479083855728,22.23609661183717,22.37683126248195,3574900.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-01,AES,The AES Corporation,20.2134,32.1323,44.6592,64.9435,84.7622,111.9854,131.0089,132.0999,132.8355,133.3449,22.54395294189453,22.693483720106798,22.359239339350236,22.49117786655179,4035200.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-02,AES,The AES Corporation,19.9139,31.5287,44.4199,64.7833,83.9937,106.8592,122.8812,123.3295,123.6931,123.9937,22.156930923461914,22.508767514541127,22.08656360524607,22.508767514541127,5187700.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-03,AES,The AES Corporation,20.2965,32.2827,44.7755,65.5579,85.2329,107.7625,123.5521,123.8771,124.149,124.3795,22.051382064819336,22.288872424783403,21.708341552219746,21.93703578651595,3555000.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-04,AES,The AES Corporation,20.3643,31.493,44.3432,64.787,84.3592,106.6053,122.1998,122.5287,122.8144,123.0633,21.95462989807129,22.244897058818044,21.66436441501423,22.121752957313138,6034500.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-07,AES,The AES Corporation,20.4002,31.4137,44.3684,64.8625,84.0295,106.8305,122.7991,123.2064,123.5423,123.8238,22.271282196044922,22.288874448978316,21.919445525824933,22.12175140149023,3692600.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-08,AES,The AES Corporation,20.2705,31.9772,43.943,63.5762,83.6119,106.2861,122.1682,122.575,122.9156,123.2045,22.271282196044922,22.499976451110307,22.14813978089032,22.33285340362222,3198800.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-09,AES,The AES Corporation,20.4746,32.0521,44.9186,65.4634,83.4811,105.9068,121.6174,121.9773,122.2899,122.5623,22.16573143005371,22.429608506108586,22.13934305137241,22.385629552662618,3357200.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-10,AES,The AES Corporation,20.1888,31.4937,44.3087,64.2884,83.1972,105.8583,121.7337,121.9967,122.1989,122.3589,22.32405662536621,22.41201620977547,22.06017954982796,22.21850646622672,3485400.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-11,AES,The AES Corporation,20.158,31.451,44.2033,64.171,83.7347,106.0496,121.6898,121.8594,121.997,122.111,22.763851165771484,22.781443416874403,22.394422281057224,22.4647912854689,3660800.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-14,AES,The AES Corporation,19.5997,31.1413,43.4853,63.8853,83.6282,105.6546,121.0981,121.1503,121.2118,121.2757,22.64070701599121,23.08929931835627,22.42080892724496,22.843012854992335,2618700.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-15,AES,The AES Corporation,19.5277,30.3533,43.3897,63.3961,82.667,104.4294,119.6893,119.7166,119.7355,119.7491,22.922178268432617,23.12448580248589,22.579137757407874,22.7022801608138,4043100.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-16,AES,The AES Corporation,19.6976,30.9907,43.595,61.7068,81.8764,103.5271,118.6973,118.6519,118.6305,118.6232,22.631914138793945,23.05411812712751,22.614321886524333,22.948567968888877,4970000.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-17,AES,The AES Corporation,19.2812,31.0089,42.5392,62.2079,81.9846,104.213,119.7944,118.7221,117.8844,117.2125,22.930973052978516,22.992544251080584,22.40321729002043,22.570340311789842,4101000.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-18,AES,The AES Corporation,19.8389,30.8695,44.5229,63.2706,83.3688,104.2008,118.8099,117.3301,116.218,115.3565,22.112957000732422,22.693487971322792,22.095366424115827,22.526366588482027,6538300.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-21,AES,The AES Corporation,19.7062,31.2386,43.8716,63.8567,82.911,105.5623,121.4494,120.343,119.4732,118.7704,23.001344680786133,23.05411976365175,22.209711727043306,22.332854146292963,4941300.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-22,AES,The AES Corporation,19.5324,31.1618,43.4025,62.8567,81.8573,104.5802,120.5059,120.7767,120.984,121.1476,22.64070701599121,22.96615692551894,22.61431864137352,22.904585729100276,3566600.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-23,AES,The AES Corporation,18.9891,30.3039,43.0593,63.895,81.3392,104.2979,120.3822,120.7076,120.9541,121.1465,22.746261596679688,22.922179082407986,22.552750181382233,22.702280966980503,3178200.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-24,AES,The AES Corporation,18.6587,30.266,42.1661,62.2203,80.5707,103.5147,119.5879,120.5747,121.3396,121.9493,22.843017578125,22.913384913965718,22.675896204059306,22.886998211581464,2949800.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-06-25,AES,The AES Corporation,19.7607,30.202,42.932,62.879,80.8838,102.1814,117.1208,116.9332,116.7836,116.6617,23.062911987304688,23.098096488386993,22.878198389690645,22.895790640231798,3341300.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
