Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Net Premiums Earned,Investment Income/(Expense) - Net - Insurance,Revenue from Business Activities - Total,Insurance Claims/Reserves - Total,Underwriting Expenses,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Investments including Loans - Total,Total Assets,Insurance Reserves - Total,Debt - Total,Earning Assets,Tangible Total Equity,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Loss Ratio - Insurance - %,Expense Ratio - %,Combined Ratio - Insurance - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Net Premiums Earned,Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Investments including Loans - Total,Tangible Total Equity,Total Assets,Claims Ratio - Insurance - %,Operating Ratio - Insurance - %,Investment Ratio - %,Claims & Loss Expense Percentage of Gross Premiums Written,Operating Income Percentage of Net Premiums Earned,Operating Income Percentage of Gross Premiums Written,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2015-04-15,ALL,Allstate Corp,6.14,9.505,13.905,20.025,27.23,35.48,41.37,45.415,48.57,51.08,58.009681701660156,58.27577647441598,57.74358077685078,57.74358077685078,1810300.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-16,ALL,Allstate Corp,5.69,8.14,13.255,20.125,27.81,36.6,42.88,48.195,52.33,55.61,58.0903434753418,58.30805859935058,57.662972421210796,57.94519800865048,1490100.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-17,ALL,Allstate Corp,6.445,11.005,16.075,22.185,27.78,36.965,43.515,47.065,49.825,52.02,57.14689636230469,57.71134749120005,56.91305056546064,57.63877783979461,3084300.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-20,ALL,Allstate Corp,6.4,10.91,16.01,22.135,27.745,36.94,43.5,47.05,49.815,52.02,57.533935546875,57.7919711770189,57.4452352222579,57.50974566780755,1571200.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-21,ALL,Allstate Corp,6.44,9.985,15.065,22.2,27.795,36.385,42.515,45.845,48.47,50.575,57.106571197509766,57.68715297030779,57.02593620730013,57.517817645250936,1566500.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-22,ALL,Allstate Corp,5.45,7.475,12.56,22.24,27.825,36.41,42.53,45.86,48.475,50.58,57.15494155883789,57.26783175697123,56.76789120868196,57.06624123858249,1718600.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-23,ALL,Allstate Corp,6.49,10.055,15.105,22.225,27.815,36.405,42.535,45.86,48.48,50.58,57.09852600097656,57.477517355955804,56.92919061616708,56.99370109192048,1916900.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-24,ALL,Allstate Corp,6.595,10.215,15.37,22.62,28.31,37.02,43.215,46.56,49.185,51.285,57.21140670776367,57.34849298387153,56.83242156810237,56.953370999879084,1592400.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-27,ALL,Allstate Corp,5.375,8.395,13.505,19.635,27.81,37.29,44.045,47.685,50.51,52.745,56.69535446166992,57.4936578936557,56.62278477806684,57.47752719592704,2185500.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-28,ALL,Allstate Corp,5.37,7.375,12.495,19.65,27.81,37.285,44.04,48.71,52.34,55.22,57.00175476074219,57.23560057339416,56.51793244377601,56.63888802301756,1745000.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-29,ALL,Allstate Corp,6.4,9.91,16.035,22.155,27.755,36.35,42.475,46.46,49.555,52.02,56.64694595336914,57.042061718582225,56.243764843380745,56.64694595336914,2132400.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-30,ALL,Allstate Corp,6.38,10.91,16.015,22.14,29.785,37.79,43.485,47.045,49.815,52.01,56.17119598388672,56.75177162268095,55.905094971071286,56.55824640974954,3440800.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-01,ALL,Allstate Corp,6.39,10.92,16.02,22.14,29.785,37.79,43.485,47.05,49.825,52.02,56.405025482177734,56.72757154714474,56.28407609086279,56.55017090381016,2423200.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-04,ALL,Allstate Corp,6.465,11.015,16.085,22.195,27.66,36.93,43.525,47.635,50.79,53.25,56.30020523071289,56.59049609772183,56.171190485406136,56.445350664217365,4123000.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-05,ALL,Allstate Corp,6.765,10.085,15.85,22.635,30.825,39.095,44.985,48.63,51.445,53.66,56.44535446166992,56.711455466339665,56.13893903790366,56.13893903790366,2513100.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-06,ALL,Allstate Corp,6.755,10.755,16.52,22.745,29.07,38.765,45.66,49.915,53.14,55.64,54.27625274658203,55.840597816526376,53.94564735208094,55.5422415051488,9737600.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-07,ALL,Allstate Corp,7.075,11.395,17.135,24.265,30.365,40.005,46.855,51.055,54.23,56.69,54.606842041015625,54.71973224211671,54.01013581347353,54.211726337161835,4320100.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-08,ALL,Allstate Corp,7.43,10.93,17.04,23.155,29.775,38.37,44.48,48.285,51.22,53.525,54.24399185180664,55.235820235940764,54.09884638466644,55.15518523243097,3631500.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-11,ALL,Allstate Corp,6.395,10.425,15.52,22.665,30.135,40.01,47.015,51.31,54.55,57.06,53.921451568603516,54.34882262192288,53.776306102187846,54.24399158103266,3425300.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-12,ALL,Allstate Corp,7.095,11.435,16.535,23.66,30.425,39.515,45.975,49.95,52.99,55.36,53.953704833984375,54.106909488687954,53.71985902705598,53.80855937285835,2510500.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-13,ALL,Allstate Corp,7.44,10.945,17.055,23.165,30.305,38.61,44.505,48.17,51.005,53.24,54.018211364746094,54.066597288482406,53.67147531290852,53.77630635429019,2458300.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-14,ALL,Allstate Corp,6.45,10.96,16.045,22.505,30.415,38.46,44.175,47.74,50.51,52.7,54.54235076904297,54.566540656059786,54.17949015967726,54.19561470033623,2061800.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-15,ALL,Allstate Corp,6.445,10.79,15.875,22.335,28.785,38.1,44.71,48.81,51.945,54.395,54.51007080078125,54.84874136945251,54.40524595392221,54.53426067682149,1683600.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-18,ALL,Allstate Corp,6.445,10.72,15.81,22.4,30.05,38.88,45.155,49.04,52.025,54.37,54.90520095825195,54.993901295184145,54.518150535325596,54.55040576257871,1444000.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-05-19,ALL,Allstate Corp,6.495,10.975,16.05,22.155,29.96,37.855,43.47,48.315,52.065,55.035,55.43741989135742,55.51805490806064,54.86490327508994,55.05842854558914,2560700.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
