Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Net Premiums Earned,Investment Income/(Expense) - Net - Insurance,Revenue from Business Activities - Total,Insurance Claims/Reserves - Total,Underwriting Expenses,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Investments including Loans - Total,Total Assets,Insurance Reserves - Total,Debt - Total,Earning Assets,Tangible Total Equity,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Loss Ratio - Insurance - %,Expense Ratio - %,Combined Ratio - Insurance - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Net Premiums Earned,Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Investments including Loans - Total,Tangible Total Equity,Total Assets,Claims Ratio - Insurance - %,Operating Ratio - Insurance - %,Investment Ratio - %,Operating Income Percentage of Net Premiums Earned,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2020-03-05,AIG,American International Group Inc,13.8609,28.673,44.5179,63.965,88.5026,103.8837,114.6223,121.9675,127.4196,131.5812,35.524208068847656,36.45054441350886,35.11347201644577,35.830073214032005,9251400.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-06,AIG,American International Group Inc,17.7015,35.4727,54.9119,77.7235,111.6307,122.4458,130.0316,135.1782,138.9882,141.8892,33.068546295166016,34.562922184741915,32.70150467296359,34.22209996434893,14681300.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-09,AIG,American International Group Inc,30.7722,63.3367,96.438,137.3829,168.7537,191.1875,206.7777,216.046,221.8571,225.5592,28.672792434692383,30.586641060953184,26.575421428469582,30.245819022519825,19741400.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-10,AIG,American International Group Inc,27.3629,52.2349,82.6511,112.7145,142.3122,158.411,169.6553,176.8801,181.8595,185.366,30.647823333740234,32.491761928062,28.987403841134206,30.219612096403523,10322100.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-11,AIG,American International Group Inc,24.2847,50.0228,80.9736,112.2554,151.8824,170.873,184.1226,193.023,199.2858,203.8,28.340709686279297,29.974909388514277,27.87753992209796,29.433089790333604,10814400.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-12,AIG,American International Group Inc,26.3363,55.889,89.4464,113.8904,191.0999,177.1001,167.0517,161.2932,157.8715,155.8399,22.43311882019043,26.02486528567712,22.28455505316242,25.91999605789977,13594500.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-13,AIG,American International Group Inc,23.2409,49.0672,78.499,99.97,168.3657,156.0458,147.4124,142.7193,140.1692,138.8668,25.220664978027344,25.291459759573243,22.20303467182716,24.37997547027414,11920600.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-16,AIG,American International Group Inc,37.7356,70.1319,104.4073,138.7548,171.7866,187.6605,198.6706,205.1433,210.0961,213.9852,20.57475471496582,22.40657131630184,19.82255904372423,21.132263454897313,15835900.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-17,AIG,American International Group Inc,36.4565,67.7513,100.8902,134.1108,166.1801,181.8146,192.789,199.3435,204.4035,208.4102,19.689821243286133,21.265007550386205,18.15888273822545,21.22075974834681,15057900.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-18,AIG,American International Group Inc,39.4014,73.2345,108.965,144.6962,179.0789,195.3334,206.4111,212.8159,217.6207,221.3506,16.619091033935547,18.840279573542425,14.220914700685462,18.247372659082576,13531000.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-19,AIG,American International Group Inc,37.2887,69.2675,103.0291,136.8054,169.3613,185.1337,196.0623,202.5384,207.4781,211.3728,18.22967529296875,18.919924041133072,15.504073473949559,16.362460473435306,11718600.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-20,AIG,American International Group Inc,56.6557,85.4494,116.5682,147.6175,169.4905,182.1487,190.5699,196.2976,200.808,205.4245,17.017311096191406,18.80488140417363,16.937666757566802,18.415509269551205,12948400.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-23,AIG,American International Group Inc,34.9759,59.6205,91.8489,122.5476,163.9007,187.1703,201.9688,211.7264,218.9651,225.6098,17.079256057739258,17.769506419348083,15.999635255317871,16.778377824823668,9604500.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-24,AIG,American International Group Inc,28.2814,54.2571,84.6558,108.2298,139.6976,158.7032,171.4962,180.3632,187.2529,193.7427,20.29157829284668,20.61900359571136,18.353568405939896,18.6102005997516,11436800.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-25,AIG,American International Group Inc,23.9072,45.7631,71.2729,91.0791,117.5549,134.506,146.4771,155.1585,162.1428,168.8116,22.760549545288086,24.556969935601767,19.49513746101766,20.53051247716909,14365100.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-26,AIG,American International Group Inc,21.4703,40.949,63.5918,81.1816,104.6044,120.2133,131.6047,140.1033,147.0803,153.7695,24.34458351135254,24.51272178216619,22.56586239093325,22.840192010137905,11282600.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-27,AIG,American International Group Inc,27.8492,46.5939,65.8595,82.6601,101.8129,115.0689,125.0436,132.6638,139.0624,145.3256,22.574710845947266,23.68088051683131,22.13224297759365,23.008329154388093,9473500.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-30,AIG,American International Group Inc,26.5193,42.0213,61.0807,80.4246,107.3763,125.0479,137.7946,147.1938,154.7862,161.9826,22.75169563293457,22.999478232173114,21.300401650819477,22.12339210727089,8377600.0,7444.0,3587.0,11852.0,6988.0,1184.0,1523.0,820.0,2856.0,337615.0,525064.0,302406.0,35350.0,337615.0,67427.0,65190.0,-139.0,1235.0,-840.0,-483.0,74.93,74.93,1.03,896.38,2.49,-136.0,1.02,65.6,34.2,99.8,12.85,8.74,20.85,6.92,5.39,0.81,7444.0,11852.0,1523.0,820.0,1.03,870.0,337615.0,67427.0,525064.0,82.38,44.88,48.19,20.46,6.73,34.39,52.43,4.23,0.68,31.96,312.9
2020-03-31,AIG,American International Group Inc,19.7047,37.1384,61.5873,79.2465,101.7316,117.95,129.5378,138.2269,145.3797,152.2229,21.459692001342773,22.822493870579997,21.132265030201037,22.548162571989543,9554500.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-01,AIG,American International Group Inc,21.7241,40.3613,66.4475,85.0245,105.7354,124.3702,137.6168,147.4935,155.4718,163.0623,19.123462677001953,20.238481958329206,18.5925008733393,20.08804280875614,10498700.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-02,AIG,American International Group Inc,23.1651,42.2824,66.5388,84.4601,102.8513,120.221,132.7526,142.2152,149.9446,157.3751,18.80488395690918,20.20308232007237,18.65444481773867,18.68099349684438,9317500.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-03,AIG,American International Group Inc,26.6295,44.0891,70.4672,90.0203,113.0444,130.8115,143.4367,152.826,160.4076,167.7122,18.105785369873047,19.194257669352236,17.61022180236091,18.80488545093788,9573000.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-06,AIG,American International Group Inc,24.0303,40.9439,65.2718,86.701,109.592,127.3365,139.9781,146.7412,151.9977,156.2152,19.04381561279297,19.636722566421586,18.424359981999796,19.424338212747564,15414300.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-07,AIG,American International Group Inc,17.5585,37.5024,62.8659,80.7497,96.5446,116.466,130.5627,138.5307,144.7223,149.6742,20.583602905273438,22.087992459812273,20.26502553914205,20.76058901810584,12731300.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-08,AIG,American International Group Inc,20.7752,46.0949,66.0859,81.978,94.6255,113.1447,126.4227,133.9994,139.9531,144.7625,21.353496551513672,21.75171827027899,20.574753920004703,21.026071305311795,8539500.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-09,AIG,American International Group Inc,16.2144,35.7391,52.5547,67.1385,78.1961,95.5822,108.0008,115.0412,120.5552,125.0,23.486194610595703,24.468472103321165,22.026049335246462,22.079146693249616,11974600.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-13,AIG,American International Group Inc,19.8758,31.0829,45.9919,60.0075,77.2936,92.5343,103.388,109.3418,114.1818,118.1904,22.680898666381836,23.89326118003638,21.618976959997532,23.574683824180735,7367800.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-14,AIG,American International Group Inc,23.3077,37.357,47.4604,59.3898,72.2742,89.1129,101.061,107.8131,113.2411,117.6961,22.813642501831055,23.981757332636523,22.32692686374153,23.273807773928365,8139700.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-15,AIG,American International Group Inc,22.2333,35.182,47.1368,59.429,71.3308,89.9994,103.2393,110.5581,116.3487,121.0401,21.309253692626953,21.63668067662571,20.592456177454782,21.415446729780378,9225200.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-16,AIG,American International Group Inc,23.0588,36.7995,48.5595,60.7213,73.0669,90.7912,103.3708,110.3378,115.8927,120.4242,20.5128116607666,21.344651766991213,20.300427276005628,21.105718701179722,8829400.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-17,AIG,American International Group Inc,26.4445,40.5623,55.0129,68.0074,80.1953,96.1974,107.5558,113.8456,118.9148,123.0851,21.680925369262695,21.955254972756904,21.088018363077826,21.4419923172447,11039800.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-20,AIG,American International Group Inc,29.3689,46.0118,59.3864,71.8253,84.342,100.9431,112.7225,119.0473,124.0876,128.1957,21.017223358154297,21.4862398975734,20.388919806893377,21.247306847989275,6502900.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-21,AIG,American International Group Inc,28.1921,44.7799,57.6948,71.5063,85.4362,105.4486,119.6137,128.0693,134.42,139.3564,19.689821243286133,20.627852704067447,19.59247776668053,19.91105518983991,7213100.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-22,AIG,American International Group Inc,27.1647,42.8654,58.2843,72.3683,87.3463,106.6368,120.3071,128.4526,134.5886,139.3697,19.698671340942383,20.831389785827906,19.592478301032664,20.424318435368615,8232200.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-23,AIG,American International Group Inc,28.787,43.5564,58.3415,71.9816,86.7376,104.8554,117.6961,125.3694,131.2091,135.8048,20.05264663696289,20.725198099293056,19.8137135474743,20.026097953281532,7604000.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-24,AIG,American International Group Inc,28.917,45.6796,59.8959,74.3852,91.0757,106.9652,118.257,124.161,128.8003,132.5518,20.663249969482422,20.97297781760111,19.884505569190807,20.477412585458815,9295600.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
2020-04-27,AIG,American International Group Inc,30.0276,45.4958,61.0115,76.0157,92.6463,108.2658,119.3626,125.1237,129.6545,133.3225,21.397743225097656,21.716320583408617,20.769438067082227,20.769438067082227,7602700.0,7443.0,2508.0,14443.0,7282.0,1862.0,3146.0,1654.0,2738.0,332336.0,510477.0,305205.0,35410.0,332336.0,61843.0,59688.0,-586.0,1903.0,-1447.0,32.0,69.3,69.3,1.98,878.87,5.28,396.0,0.11,66.8,34.7,101.5,21.78,17.71,35.34,11.45,7.28,0.95,7443.0,14443.0,3146.0,1654.0,1.98,861.29,332336.0,61843.0,510477.0,86.53,53.94,33.7,42.27,6.94,36.41,57.26,8.86,0.84,15.84,631.16
