Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Income from Operations - Company Reported,Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP Adjusted EBITDA - Company Reported,Non-GAAP EPS Diluted - Company Reported,Non-GAAP Operating Margin % - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2019-08-08,APD,Air Products   Chemicals Inc,7.785,13.135,19.47,28.03,37.63,49.66,58.095,63.385,67.465,70.685,200.2886505126953,201.24626502200988,197.35434324113564,197.92538632740684,951900.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-09,APD,Air Products   Chemicals Inc,7.52,12.675,18.785,27.05,36.34,47.975,56.15,61.26,65.2,68.315,201.94912719726562,203.12637598193507,199.98999507738822,200.61376172469068,1063300.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-12,APD,Air Products   Chemicals Inc,7.79,13.12,19.435,27.985,37.58,49.615,58.055,63.34,67.42,70.635,199.54190063476562,203.37231841249238,199.32226661862396,201.45710282093077,906800.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-13,APD,Air Products   Chemicals Inc,7.765,13.085,19.375,27.895,37.46,49.435,57.84,63.105,67.17,70.375,201.7733917236328,203.9785125878714,198.54916572950495,200.08660395971128,772500.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-14,APD,Air Products   Chemicals Inc,7.435,12.52,18.525,26.685,35.86,47.36,55.43,60.475,64.37,67.445,195.55337524414062,201.99304738660553,195.4743102011303,199.16415966766735,971600.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-15,APD,Air Products   Chemicals Inc,7.875,13.265,19.645,28.27,37.96,50.09,58.6,63.93,68.05,71.305,198.847900390625,199.6561521676768,195.632454356306,196.42314505946965,1132200.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-16,APD,Air Products   Chemicals Inc,7.635,12.85,19.025,27.38,36.76,48.51,56.755,61.915,65.89,69.035,200.97393798828125,201.53620062482761,198.51404733176514,199.58584917187648,713800.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-19,APD,Air Products   Chemicals Inc,7.49,12.6,18.635,26.825,36.04,47.575,55.67,60.73,64.635,67.715,200.8070068359375,202.36200611221517,199.7703272463551,201.48346999460855,747900.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-20,APD,Air Products   Chemicals Inc,7.42,12.49,18.46,26.575,35.71,47.32,55.46,60.555,64.485,67.585,198.3119659423828,199.743984189512,197.714567781248,199.12021761030536,592000.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-21,APD,Air Products   Chemicals Inc,7.685,12.92,19.105,27.5,36.92,48.935,57.36,62.64,66.71,69.925,200.86851501464844,201.13207855413114,199.4101417141896,200.01633383338023,584400.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-22,APD,Air Products   Chemicals Inc,7.435,12.495,18.47,26.595,35.73,47.4,55.58,60.7,64.65,67.765,197.91665649414062,201.65921630435426,197.63553184908704,200.82460950084513,733100.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-23,APD,Air Products   Chemicals Inc,7.58,12.74,18.815,27.1,36.4,48.295,56.62,61.84,65.86,69.035,193.84019470214844,198.39979897394764,192.7683796422675,198.06595098321202,942300.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-26,APD,Air Products   Chemicals Inc,7.55,12.685,18.735,26.96,36.21,48.01,56.265,61.445,65.44,68.585,195.72903442382812,196.2912969416372,194.88564734981242,195.5181943580221,641500.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-27,APD,Air Products   Chemicals Inc,7.535,12.65,18.685,26.895,36.13,47.925,56.18,61.365,65.355,68.505,198.14501953125,198.461293052988,196.352811844999,197.19621237143255,644500.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-28,APD,Air Products   Chemicals Inc,7.625,12.805,18.905,27.205,36.54,48.46,56.8,62.035,66.07,69.255,198.36463928222656,199.07626470900314,196.79206572680164,197.87266126277285,489000.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-29,APD,Air Products   Chemicals Inc,7.58,12.72,18.775,27.38,37.19,48.505,56.435,61.635,65.64,68.805,197.1786651611328,201.12328408543405,196.81846210496414,200.74551995730477,948100.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-08-30,APD,Air Products   Chemicals Inc,7.395,12.405,18.31,26.36,35.42,46.995,55.1,60.18,64.09,67.185,198.4788818359375,199.12020946041196,196.5988150449074,199.12020946041196,875100.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-09-03,APD,Air Products   Chemicals Inc,7.595,12.73,18.775,27.075,36.42,48.47,56.89,62.185,66.26,69.475,198.16261291503906,198.7775855422674,196.51975459542953,196.76574364632089,728600.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
