Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2021-02-19,NKE,NIKE Inc,4.671,8.0794,12.771,19.0583,24.886,30.6729,36.5166,42.5067,47.4236,50.643,135.36007690429688,138.67688070049036,134.86445786336347,138.61015632008593,7486000.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-02-22,NKE,NIKE Inc,4.66,8.0601,12.739,19.0091,24.817,30.5743,36.3817,42.328,47.2077,50.401,130.26095581054688,135.77944602286425,129.8701789785594,134.90257597046931,8985900.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-02-23,NKE,NIKE Inc,4.832,8.3594,13.213,19.7101,25.726,31.6882,37.7018,43.8575,48.907,52.211,129.7462921142578,130.41346323941795,125.4096579858573,129.6509757207036,10364100.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-02-24,NKE,NIKE Inc,4.777,8.2636,13.061,19.485,25.432,31.327,37.2703,43.3536,48.3421,51.605,129.28878784179688,129.5842628375822,127.6685109920927,128.72645894545215,6360900.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-02-25,NKE,NIKE Inc,4.719,8.166,12.909,19.2591,25.137,30.961,36.8313,42.8415,47.7696,50.993,129.1839599609375,132.6532646584632,128.22132829209554,131.14737021991547,5674300.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-02-26,NKE,NIKE Inc,4.827,8.3521,13.198,19.6936,25.699,31.6498,37.644,43.7781,48.8142,52.114,128.72076416015625,130.69771123690222,127.36460411364986,129.79040823676803,6650200.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-01,NKE,NIKE Inc,4.95,8.5613,13.527,20.1705,26.313,32.3959,38.5296,44.8101,49.9647,53.34,131.46173095703125,132.8942961962556,129.40839327659924,129.54209878268122,5717800.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-02,NKE,NIKE Inc,4.494,7.7775,12.294,18.3449,23.939,29.4799,35.0681,40.7925,45.4892,48.562,130.8600311279297,132.04427543977468,129.5134166383605,131.37574807457128,5292700.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-03,NKE,NIKE Inc,4.711,8.1504,12.881,19.2173,25.075,30.8773,36.7267,42.7149,47.6266,50.839,128.22415161132812,131.232547768251,128.11909622985826,130.9269268138626,4888400.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-04,NKE,NIKE Inc,4.727,8.1808,12.931,19.2968,25.179,31.0091,36.885,42.8994,47.8335,51.061,126.10395050048828,129.0550462990864,124.32756882201932,127.97584236805695,7181500.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-05,NKE,NIKE Inc,4.759,8.2337,13.012,19.4154,25.329,31.1906,37.0987,43.1456,48.1045,51.348,127.35502624511719,127.6701777010444,123.38204273316701,127.53647222577703,5957100.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-08,NKE,NIKE Inc,4.828,8.3537,13.202,19.706,25.71,31.6646,37.6656,43.807,48.8422,52.135,128.51065063476562,129.53255417158337,126.41910304452216,127.63201236619348,4983000.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-09,NKE,NIKE Inc,4.706,8.1431,12.869,19.207,25.055,30.8534,36.6985,42.6846,47.5954,50.808,129.83815002441406,131.79599194982413,129.36062831445093,129.41792858799752,5977800.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-10,NKE,NIKE Inc,4.69,8.1139,12.822,19.1376,24.967,30.744,36.5715,42.5426,47.4402,50.642,131.4044189453125,131.9869960068213,129.98141359468065,130.3634251285724,4519600.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-11,NKE,NIKE Inc,4.745,8.21,12.975,19.373,25.279,31.1352,37.0422,43.093,48.0556,51.3,134.8426055908203,135.8071943618326,132.3308363084153,132.92295866559027,5696500.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-12,NKE,NIKE Inc,4.528,7.8352,12.384,18.4897,24.127,29.7131,35.3502,41.1231,45.8592,48.954,134.13583374023438,134.57516008720054,132.369012310821,133.70606715323137,4143200.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-15,NKE,NIKE Inc,4.785,8.2802,13.087,19.5403,25.493,31.3966,37.353,43.4542,48.4545,51.719,138.4239959716797,138.4812962453736,134.34595647772332,134.37460661457027,5413900.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-16,NKE,NIKE Inc,4.438,7.6826,12.146,18.1459,23.682,29.2288,34.8574,40.6455,45.3952,48.491,138.14700317382812,139.57956807880169,137.37342045679102,139.32171688832517,5623000.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
2021-03-17,NKE,NIKE Inc,4.394,7.6078,12.03,17.9792,23.469,28.9852,34.5923,40.3634,45.0987,48.184,138.30938720703125,139.57958205926474,136.76220704518576,136.76220704518576,5134400.0,11243.0,4877.0,1717.0,1964.0,1251.0,8635.0,11812.0,34836.0,9451.0,10640.0,2473.0,247.0,168.0,487.0,1920.0,0.75,0.78,1609.5,43.38,17.47,15.27,12.95,14.08,11.13,1.7,28.27,9.2,18.27,11243.0,1717.0,1964.0,1251.0,0.78,1270.0,27.13,47.04,88.83,22.59,286.27,0.65,34.93,211455.63,9451.0,0.0,11812.0,209094.63,1.25,8.49,10.57,3.07,32.49,0.87,28.27,0.44,12.43,2.66,1.97,0.42,9.0,40.69,9.12,40.12,3.55,103.11,103.68
