Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,Cost of Operating Revenue,Provision & Impairment for Loan Losses,"Selling, General & Administrative Expenses - Total",Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Loans & Receivables - Total,Investments - Total,Total Assets,Deposits - Total,Common Equity - Total,Tangible Total Equity,Earning Assets,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Deposits - Total,Loans & Receivables - Total,Total Assets,Capital Adequacy - Total (%),Capital Adequacy - Tier 1 (%),Capital Adequacy - Core Tier 1 (%),Capital Adequacy - Tier 2 (%),Risk Weighted Assets,Leverage Ratio - Basel 3 - %,Reserves for Loan Losses - Total Percentage of Loans - Gross - Total,Reserves for Loan Losses - Total to Loans - Non-Performing & Impaired,Reserves for Loan Losses - Total Percentage of Total Assets,Loans - Non-Performing & Impaired Percentage of Loans - Gross - Total,Loans - Non-Performing & Impaired Percentage of Shareholders Equity - Common,Loans - Non-Performing & Impaired Percentage of Reserves for Loan Losses - Total,Loans - Gross - Total Percentage of Total Assets,Loans to Deposits (End of Period),Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2021-06-23,SCHW,The Charles Schwab Corp,13.9257,22.9241,34.1778,44.8774,52.3379,57.3231,60.9367,63.6885,65.8138,67.5043,69.29714965820312,69.65841631700832,68.89785378478722,69.16405103373116,7116700.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-24,SCHW,The Charles Schwab Corp,13.9159,22.8847,34.0903,44.7511,52.1844,57.1513,60.7522,63.4951,65.6133,67.2983,69.77252197265625,70.01019918533142,68.60315414816084,69.46829543056535,5895500.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-25,SCHW,The Charles Schwab Corp,14.0232,23.0514,34.3243,45.0526,52.5309,57.5296,61.1538,63.9149,66.0477,67.744,70.14329528808594,70.60914057702028,69.55386046426405,69.91512720316561,12715300.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-28,SCHW,The Charles Schwab Corp,14.0235,23.0393,34.2909,45.0041,52.4665,57.4525,61.0668,63.8202,65.9461,67.6366,69.66792297363281,70.16229549278196,69.00242987477522,69.97214942644354,5006400.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-29,SCHW,The Charles Schwab Corp,13.7962,22.9475,34.4767,45.3483,52.9083,57.9718,61.6463,64.4495,66.6137,68.3347,69.61087799072266,70.9228531181971,69.55383780141123,70.40946965440354,5316100.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-30,SCHW,The Charles Schwab Corp,13.6202,22.8258,34.4862,45.4175,53.0112,58.101,61.7952,64.6142,66.7902,68.5204,69.2210922241211,69.4967985940141,68.72672693373681,69.26863055640067,6429700.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-01,SCHW,The Charles Schwab Corp,13.4519,22.6479,34.3351,45.2546,52.8348,57.9202,61.6134,64.4337,66.6107,68.3417,69.94364929199219,70.01019862087136,69.34470533207961,69.83907073899165,4413400.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-02,SCHW,The Charles Schwab Corp,13.113,22.0017,33.2764,43.7293,50.9785,55.9115,59.5245,62.3115,64.4618,66.1712,69.21159362792969,69.71546805922489,68.08024799690962,69.52532197446062,6108800.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-06,SCHW,The Charles Schwab Corp,12.7238,21.7792,33.4192,44.1088,51.5042,56.5193,60.1839,63.0038,65.1782,66.9063,67.28164672851562,69.03095438399474,67.18657731593476,69.03095438399474,7684000.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-07,SCHW,The Charles Schwab Corp,13.1769,22.3968,34.1908,45.0426,52.5527,57.6323,61.3377,64.1827,66.3767,68.1204,66.61614990234375,67.15805350274444,65.46579339108372,66.98692566823208,9833600.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-08,SCHW,The Charles Schwab Corp,13.5576,22.8392,34.6385,45.5729,53.1474,58.2518,61.9676,64.814,67.0095,68.7541,64.59114074707031,65.48480184542731,64.01120795544291,64.01120795544291,10896900.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-09,SCHW,The Charles Schwab Corp,13.4633,22.8538,34.854,45.9257,53.5864,58.7471,62.5021,65.377,67.5938,69.3551,67.0724868774414,67.11050883411461,65.1425425497539,65.98867977900102,10327400.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-12,SCHW,The Charles Schwab Corp,13.0639,22.2536,34.0244,44.8612,52.3529,57.3977,61.0686,63.8804,66.0473,67.768,68.17530822753906,68.46052368959336,66.30241125159773,66.48304819445416,6192400.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-13,SCHW,The Charles Schwab Corp,12.9992,22.2404,34.1085,45.0126,52.5469,57.624,61.3195,64.1508,66.3322,68.0643,68.27989959716797,68.54609687674132,67.4622895222888,68.05173153658109,7489100.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-14,SCHW,The Charles Schwab Corp,13.02,22.3192,34.2698,45.2382,52.8133,57.9172,61.6314,64.4764,66.6684,68.4088,66.73974609375,68.55560314487347,66.51157804264837,67.83306252083148,7577000.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-15,SCHW,The Charles Schwab Corp,12.9181,22.2049,34.1623,45.1214,52.6888,57.7892,61.5021,64.3473,66.5397,68.2806,67.0724868774414,68.03269723003831,65.94114145316428,66.30240806820102,5719800.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-16,SCHW,The Charles Schwab Corp,12.9712,22.3538,34.4513,45.5283,53.1751,58.3324,62.0871,64.9647,67.1827,68.9445,65.49433135986328,67.16758094798371,64.93341662626959,67.05349327606658,10465600.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-19,SCHW,The Charles Schwab Corp,12.8813,22.2236,34.2758,45.3046,52.9136,58.0429,61.7767,64.6384,66.8434,68.5946,63.39324951171875,64.75276309499637,62.93690619388298,64.03973164754302,8937300.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-20,SCHW,The Charles Schwab Corp,12.9952,22.478,34.7316,45.9367,53.6656,58.8797,62.676,65.5863,67.829,69.61,64.59114074707031,64.89536719076578,62.49007573696556,63.31718752743076,5857700.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-21,SCHW,The Charles Schwab Corp,12.8394,22.199,34.2945,45.3519,52.977,58.1146,61.8522,64.7152,66.9196,68.6694,66.13129425048828,66.55911751360287,65.04748692259535,65.27566223092248,5767000.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-22,SCHW,The Charles Schwab Corp,12.5779,21.7101,33.5026,44.2872,51.7215,56.7288,60.3732,63.1669,65.3175,67.0241,63.9351692199707,66.23588286225379,63.83059066774576,65.89362710103268,8206600.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-23,SCHW,The Charles Schwab Corp,12.6995,21.9604,33.9292,44.8715,52.4117,57.4973,61.1996,64.039,66.2247,67.9587,64.5626449584961,65.03799940906961,63.93517360213906,64.19186181398211,6059900.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-26,SCHW,The Charles Schwab Corp,12.6683,21.9069,33.8464,44.7642,52.2834,57.3542,61.0456,63.8771,66.0562,67.7845,64.68620300292969,65.24711749984688,64.31542729231296,64.59113360977946,5838300.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-27,SCHW,The Charles Schwab Corp,12.7999,22.1682,34.2816,45.3527,52.9737,58.1182,61.864,64.7377,66.9483,68.7014,64.04923248291016,64.4770483947334,63.317182896313,64.22036029830547,3879400.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-28,SCHW,The Charles Schwab Corp,12.8224,22.2178,34.3701,45.4774,53.1228,58.2852,62.0446,64.9292,67.149,68.9098,64.50557708740234,64.96192040706654,63.821065734571526,64.315438268652,5206000.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-29,SCHW,The Charles Schwab Corp,12.6928,21.9664,33.955,44.9163,52.461,57.5515,61.2582,64.1025,66.2908,68.0263,65.19009399414062,65.86509628754183,64.41051316551781,65.02847525910055,4475900.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-07-30,SCHW,The Charles Schwab Corp,12.6883,21.9644,33.9573,44.9245,52.4669,57.5557,61.2612,64.1049,66.2927,68.0276,64.60066986083984,65.71300483815253,64.42004009369812,64.87637632507402,4084100.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-02,SCHW,The Charles Schwab Corp,12.7738,22.1353,34.2455,45.3191,52.931,58.0719,61.8158,64.6903,66.901,68.6534,64.4010009765625,66.2738981501567,64.28692058236591,64.83832607875571,4941400.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-03,SCHW,The Charles Schwab Corp,12.727,22.048,34.1066,45.1338,52.7159,57.8369,61.5669,64.4311,66.6334,68.3792,64.08727264404297,64.87635529951044,62.8988868488634,64.80980598511364,4858100.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-04,SCHW,The Charles Schwab Corp,12.794,22.1744,34.3122,45.4077,53.0342,58.1853,61.9367,64.8171,67.0317,68.7874,64.33446502685547,64.9429181000734,63.222137432378894,63.54537495419283,4619300.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-05,SCHW,The Charles Schwab Corp,12.7091,22.0096,34.038,45.0376,52.5981,57.7045,61.4244,64.2819,66.4796,68.2218,65.88410949707031,66.2643871379595,64.6576945212088,64.70522559965441,4814400.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-06,SCHW,The Charles Schwab Corp,10.225,19.6829,32.5,43.6771,51.297,56.4886,60.2881,63.2228,65.4792,67.268,68.38446807861328,68.87883334606626,66.60664043245718,66.68269885924404,9361700.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-09,SCHW,The Charles Schwab Corp,10.225,19.6872,32.5,43.6803,51.297,56.489,60.2888,63.2246,65.4805,67.268,69.80103302001953,70.44751524473953,67.8806045822721,68.10877264589917,6079800.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
2021-08-10,SCHW,The Charles Schwab Corp,10.384,19.4775,31.676,42.2508,49.448,54.4799,58.214,61.1463,63.3975,65.181,70.8563232421875,71.29364840459658,69.32568154708957,69.73448660702253,5784800.0,2068.0,2339.0,4648.0,121.0,0.0,2246.0,1860.0,1265.0,111811.0,359623.0,574532.0,368638.0,47496.0,35812.0,401492.0,-594.0,289.0,239.0,-18709.0,25.16,13.7,0.59,1896.0,0.99,1335.0,0.7,36.98,26.41,27.22,11.42,0.94,2068.0,2339.0,4648.0,0.59,1887.8,368638.0,111811.0,574532.0,26.7,26.7,19.2,0.0,132148.0,6.3,0.04,0.24,0.0,0.19,0.11,415.38,5.03,0.08,3.87,27.88,38.66,0.69,30.62,326.61
