Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,Cost of Operating Revenue,Provision & Impairment for Loan Losses,"Selling, General & Administrative Expenses - Total",Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Loans & Receivables - Total,Investments - Total,Total Assets,Deposits - Total,Common Equity - Total,Tangible Total Equity,Earning Assets,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Deposits - Total,Loans & Receivables - Total,Total Assets,Capital Adequacy - Total (%),Capital Adequacy - Tier 1 (%),Capital Adequacy - Core Tier 1 (%),Capital Adequacy - Tier 2 (%),Risk Weighted Assets,Leverage Ratio - Basel 3 - %,Reserves for Loan Losses - Total Percentage of Loans - Gross - Total,Reserves for Loan Losses - Total to Loans - Non-Performing & Impaired,Reserves for Loan Losses - Total Percentage of Total Assets,Loans - Non-Performing & Impaired Percentage of Loans - Gross - Total,Loans - Non-Performing & Impaired Percentage of Shareholders Equity - Common,Loans - Non-Performing & Impaired Percentage of Reserves for Loan Losses - Total,Loans - Gross - Total Percentage of Total Assets,Loans to Deposits (End of Period),Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2021-06-09,SCHW,The Charles Schwab Corp,13.041,21.9257,33.139,43.7326,51.126,56.0821,59.6789,62.4203,64.5349,66.215,69.25911712646484,71.20807257526614,68.68869344128639,71.15102512941682,9634600.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-10,SCHW,The Charles Schwab Corp,13.106,22.0324,33.306,43.9531,51.383,56.3643,59.9795,62.7348,64.8604,66.549,69.04046630859375,70.561598731734,68.87884032196985,70.0672261608812,8741300.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-11,SCHW,The Charles Schwab Corp,12.999,21.8468,33.031,43.5903,50.959,55.8977,59.4828,62.216,64.3251,66.001,70.27638244628906,70.33342989818684,69.25912446964493,69.29715368646629,6912700.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-14,SCHW,The Charles Schwab Corp,12.9,21.6712,32.78,43.2594,50.572,55.4717,59.0289,61.7417,63.8356,65.5,68.46053314208984,70.09575320987452,67.6524322258004,69.85807604312282,7764100.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-15,SCHW,The Charles Schwab Corp,13.091,21.9905,33.265,43.9019,51.32,56.2928,59.9027,62.6557,64.7801,66.469,68.96440124511719,69.69644366005544,68.4795378385145,68.92637203152768,7934500.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-16,SCHW,The Charles Schwab Corp,13.7736,22.8609,34.2683,45.0846,52.6314,57.6856,61.3512,64.1433,66.2981,68.011,70.1147689819336,70.86582975058059,67.62390949300301,68.51757802211017,8819100.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-17,SCHW,The Charles Schwab Corp,13.6716,22.6842,34.0002,44.7235,52.1996,57.2053,60.8372,63.6059,65.7436,67.4435,68.58411407470703,70.66616811596124,67.36720829375994,70.4855311707695,8699900.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-18,SCHW,The Charles Schwab Corp,13.8156,22.8612,34.2016,44.9664,52.476,57.5057,61.1557,63.9381,66.0874,67.7974,66.38798522949219,68.2608823870569,65.86509258279553,67.5763710144108,17257900.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-21,SCHW,The Charles Schwab Corp,13.9674,23.0534,34.4381,45.2537,52.7994,57.8519,61.5181,64.3126,66.4717,68.1895,69.154541015625,69.36369806659296,66.73023845576321,67.15805442122972,9488200.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-22,SCHW,The Charles Schwab Corp,13.9919,23.0621,34.4143,45.2017,52.7255,57.7525,61.3955,64.1683,66.3094,68.0123,68.92638397216797,69.1640611582789,67.99468621114703,69.06899173450094,6856800.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
