Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2017-05-08,AMZN,Amazon.com Inc,10.77,17.735,27.78,36.65,44.55,53.61,60.045,66.075,72.275,77.66,47.45199966430664,47.45249938964844,46.96049880981445,47.04750061035156,68314000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-09,AMZN,Amazon.com Inc,10.625,17.46,27.45,36.22,43.89,52.84,59.38,65.535,71.765,77.21,47.64099884033203,47.894500732421875,47.5099983215332,47.63999938964844,65242000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-10,AMZN,Amazon.com Inc,10.53,17.36,27.4,36.15,43.71,52.57,59.07,65.245,71.48,76.92,47.4474983215332,47.6875,47.25,47.67499923706055,41930000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-11,AMZN,Amazon.com Inc,10.28,17.26,27.43,36.42,43.96,52.6,59.075,65.36,71.665,77.06,47.38100051879883,47.51449966430664,47.03900146484375,47.25550079345703,43882000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-12,AMZN,Amazon.com Inc,10.415,17.51,27.93,37.11,44.48,53.15,59.65,66.095,72.335,77.8,48.067501068115234,48.13949966430664,47.576499938964844,47.724998474121094,72518000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-15,AMZN,Amazon.com Inc,10.39,17.26,27.52,36.58,44.21,53.02,59.63,66.075,72.495,78.105,47.89849853515625,48.157501220703125,47.803001403808594,47.936500549316406,85412000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-16,AMZN,Amazon.com Inc,10.39,17.26,27.515,36.57,44.2,53.01,59.61,66.055,72.47,78.075,48.30350112915039,48.50299835205078,48.045501708984375,48.04999923706055,62522000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-17,AMZN,Amazon.com Inc,10.38,17.14,27.355,36.445,44.32,53.32,59.935,66.455,72.9,78.515,47.237998962402344,48.02000045776367,47.20600128173828,47.73500061035156,102912000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-18,AMZN,Amazon.com Inc,10.475,17.3,27.58,36.78,44.74,53.86,60.47,67.025,73.46,79.065,47.92449951171875,48.13750076293945,47.237998962402344,47.2400016784668,78786000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-19,AMZN,Amazon.com Inc,10.37,17.17,27.4,36.46,44.35,53.64,60.31,66.82,73.315,78.945,47.992000579833984,48.44599914550781,47.986000061035156,48.141998291015625,79442000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-22,AMZN,Amazon.com Inc,10.41,17.12,27.295,36.32,44.11,53.12,59.685,66.195,72.59,78.18,48.53350067138672,48.569000244140625,48.14500045776367,48.20000076293945,52844000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-23,AMZN,Amazon.com Inc,10.295,16.98,27.15,36.21,43.99,53.08,59.73,66.335,72.825,78.42,48.57699966430664,48.7599983215332,48.342498779296875,48.750999450683594,48312000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-24,AMZN,Amazon.com Inc,10.36,17.09,27.14,36.06,43.93,53.07,59.75,66.315,72.865,78.46,49.01750183105469,49.04999923706055,48.51150131225586,48.79999923706055,48920000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-25,AMZN,Amazon.com Inc,10.34,16.925,26.895,35.77,43.75,52.84,59.53,66.065,72.575,78.11,49.66899871826172,49.95000076293945,49.105499267578125,49.24250030517578,96440000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-26,AMZN,Amazon.com Inc,10.295,16.89,26.84,35.78,43.82,52.91,59.57,66.14,72.58,78.115,49.78900146484375,49.932498931884766,49.462501525878906,49.75,69384000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-30,AMZN,Amazon.com Inc,9.95,16.63,26.675,35.82,43.9,52.82,59.46,66.135,72.58,78.125,49.834999084472656,50.060001373291016,49.7760009765625,49.82550048828125,65262000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-05-31,AMZN,Amazon.com Inc,11.105,18.74,30.265,40.745,50.0,59.865,67.01,74.075,80.835,86.58,49.73099899291992,50.00600051879883,49.108001708984375,50.0,78262000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-06-01,AMZN,Amazon.com Inc,11.195,18.79,30.32,40.705,49.88,59.65,66.63,73.645,80.275,86.0,49.79750061035156,49.949501037597656,49.56850051879883,49.929500579833984,49096000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
2017-06-02,AMZN,Amazon.com Inc,11.295,18.76,30.385,40.675,49.83,59.64,66.535,73.515,80.095,85.71,50.33649826049805,50.42399978637695,49.78350067138672,49.949501037597656,75046000.0,35714.0,13274.0,1005.0,3440.0,724.0,15440.0,21531.0,80969.0,21599.0,21674.0,-1619.0,2435.0,1861.0,-3633.0,-3767.0,0.0,1.48,490.0,37.17,9.63,2.81,2.67,24.03,2.03,2.03,14.18,3.63,7.75,35714.0,1005.0,3440.0,724.0,1.48,478.0,26.68,49.91,99.65,7.23,1.0,0.0,423720.4,21599.0,0.0,21531.0,423788.4,2.01,2.66,5.33,3.9,20.8,0.69,14.18,1.0,14.18,1.06,0.77,0.03,22.99,15.92,5.44,67.3,9.13,40.09,-11.29
